persona_id,w1_before,w1_after,delta,pct_change,model
CHN_Female_18-29_Higher,0.1105555555555555,0.12833333333333333,0.017777777777777823,16.0804020100503,bielik
CHN_Female_18-29_Lower,0.20451388888888888,0.19076388888888887,-0.013750000000000012,-6.723259762309004,bielik
CHN_Female_18-29_Medium,0.15143790855555556,0.12568627477777777,-0.025751633777777783,-17.00474737362785,bielik
CHN_Female_30-49_Higher,0.16923976533333335,0.20304093511111113,0.03380116977777778,19.972356798771997,bielik
CHN_Female_30-49_Lower,0.20174435733333335,0.22406039333333336,0.02231603600000001,11.061541594012567,bielik
CHN_Female_30-49_Medium,0.20556894244444449,0.21776439066666667,0.012195448222222183,5.932534398048982,bielik
CHN_Female_50-64_Higher,0.238989899,0.23040404055555555,-0.008585858444444455,-3.592561225545543,bielik
CHN_Female_50-64_Lower,0.2099999998888889,0.3075308643333333,0.09753086444444442,46.44326880764193,bielik
CHN_Female_50-64_Medium,0.19921921833333336,0.30615615566666665,0.10693693733333329,53.67802274698544,bielik
CHN_Female_65+_Lower,0.21935185200000001,0.3557098764444444,0.1363580244444444,62.16406344471821,bielik
CHN_Female_65+_Medium,0.2548148151111111,0.29851851844444444,0.043703703333333344,17.15116262540563,bielik
CHN_Male_18-29_Higher,0.16154826944444442,0.18151183966666665,0.019963570222222227,12.357650311498752,bielik
CHN_Male_18-29_Lower,0.148253968,0.18095238066666666,0.03269841266666665,22.055674534570734,bielik
CHN_Male_18-29_Medium,0.15083333333333332,0.15527777777777776,0.004444444444444445,2.9465930018416215,bielik
CHN_Male_30-49_Higher,0.16734006755555553,0.21181818200000002,0.044478114444444494,26.57947680681922,bielik
CHN_Male_30-49_Lower,0.15031236088888894,0.22757697444444444,0.0772646135555555,51.40270108103058,bielik
CHN_Male_30-49_Medium,0.15267973811111113,0.22705882344444442,0.07437908533333329,48.715753808278514,bielik
CHN_Male_50-64_Higher,0.12074074077777776,0.22333333322222218,0.10259259244444442,84.96932500461062,bielik
CHN_Male_50-64_Lower,0.17220472477777782,0.2851181105555555,0.11291338577777771,65.56927280798315,bielik
CHN_Male_50-64_Medium,0.17480748088888895,0.25434543488888894,0.079537954,45.50031474371276,bielik
CHN_Male_65+_Higher,0.13148148122222222,0.3740740741111111,0.24259259288888887,184.50704284268994,bielik
CHN_Male_65+_Lower,0.12502732277777776,0.43850637544444443,0.31347905266666665,250.72843735432215,bielik
CHN_Male_65+_Medium,0.15708994744444446,0.4000529098888889,0.24296296244444446,154.66486964760705,bielik
SVK_Female_18-29_Higher,0.1775757573333333,0.3260606057777778,0.14848484844444448,83.61774753167387,bielik
SVK_Female_18-29_Medium,0.204074074,0.19999999955555559,-0.004074074444444409,-1.9963704181474855,bielik
SVK_Female_30-49_Higher,0.33407407377777776,0.2088888888888889,-0.12518518488888886,-37.47228375829027,bielik
SVK_Female_30-49_Lower,0.27769647722222224,0.18433604322222225,-0.09336043399999999,-33.61959609062299,bielik
SVK_Female_30-49_Medium,0.240283688,0.22711583933333335,-0.013167848666666648,-5.480125919603269,bielik
SVK_Female_50-64_Higher,0.21222222222222223,0.20777777777777776,-0.004444444444444473,-2.0942408376963484,bielik
SVK_Female_50-64_Lower,0.2174863383333333,0.20624772277777778,-0.011238615555555526,-5.167504148389548,bielik
SVK_Female_50-64_Medium,0.21212121211111112,0.20333333322222222,-0.008787878888888906,-4.142857190673477,bielik
SVK_Female_65+_Higher,0.2736111111111111,0.24805555555555556,-0.025555555555555526,-9.34010152284263,bielik
SVK_Female_65+_Lower,0.17332138533333333,0.15044205466666666,-0.02287933066666667,-13.200523768411454,bielik
SVK_Female_65+_Medium,0.188125,0.21437499999999998,0.026249999999999996,13.953488372093023,bielik
SVK_Male_18-29_Higher,0.30444444444444446,0.29444444444444445,-0.010000000000000009,-3.284671532846718,bielik
SVK_Male_18-29_Lower,0.2470760231111111,0.17742690022222224,-0.06964912288888886,-28.189349177587893,bielik
SVK_Male_18-29_Medium,0.23435897466666664,0.1865811968888889,-0.047777777777777725,-20.3865791125486,bielik
SVK_Male_30-49_Higher,0.240840108,0.26065040600000006,0.01981029800000006,8.225497889246943,bielik
