persona_id,model,w1_norm,w1_boot_mean,w1_boot_sd,w1_ci_lower,w1_ci_upper,country,sex,age_group,education
CHN_Male_65+_Medium,bielik_lora,0.4000529098888889,0.40005439153439154,0.03588661850918194,0.3206878306878307,0.46354497354497354,CHN,Male,65+,Medium
CHN_Male_65+_Medium,qwen_lora,0.7233333329999999,0.7235291005291005,0.0468969928221148,0.628095238095238,0.8079894179894179,CHN,Male,65+,Medium
SVK_Female_18-29_Higher,bielik_lora,0.3260606057777778,0.33008767676767675,0.06221581171821415,0.21414141414141413,0.4573737373737374,SVK,Female,18-29,Higher
SVK_Female_18-29_Higher,qwen_lora,0.16838383822222222,0.16997131313131314,0.04783432729463747,0.07747474747474749,0.26939393939393935,SVK,Female,18-29,Higher
SVK_Female_18-29_Medium,bielik_lora,0.19999999955555559,0.2008588888888889,0.029481949326503984,0.14444444444444446,0.26481481481481484,SVK,Female,18-29,Medium
SVK_Female_18-29_Medium,qwen_lora,0.2662962962222222,0.2640416666666667,0.045049535854144104,0.17370370370370372,0.3496296296296297,SVK,Female,18-29,Medium
SVK_Female_30-49_Higher,bielik_lora,0.2088888888888889,0.20825862433862435,0.03159726598987072,0.14539682539682539,0.2697354497354498,SVK,Female,30-49,Higher
SVK_Female_30-49_Higher,qwen_lora,0.35185185155555554,0.3518809523809524,0.03125081353566306,0.28835978835978837,0.4127645502645502,SVK,Female,30-49,Higher
SVK_Female_30-49_Lower,bielik_lora,0.18433604322222225,0.18515512195121953,0.02701174586463625,0.13284552845528458,0.23753252032520325,SVK,Female,30-49,Lower
SVK_Female_30-49_Lower,qwen_lora,0.31436314388888886,0.31350948509485094,0.04067144965799155,0.23841463414634143,0.3929539295392954,SVK,Female,30-49,Lower
SVK_Female_30-49_Medium,bielik_lora,0.22711583933333335,0.22721867612293142,0.019385544476427197,0.18810874704491726,0.26378841607565007,SVK,Female,30-49,Medium
SVK_Female_30-49_Medium,qwen_lora,0.23695035466666667,0.24198921985815602,0.022917118387253774,0.2003995271867612,0.28790189125295507,SVK,Female,30-49,Medium
SVK_Female_50-64_Higher,bielik_lora,0.20777777777777776,0.20989388888888888,0.026382301181482357,0.1577777777777778,0.26,SVK,Female,50-64,Higher
SVK_Female_50-64_Higher,qwen_lora,0.2544444444444445,0.25406388888888887,0.03729910525164861,0.185,0.32673611111111106,SVK,Female,50-64,Higher
SVK_Female_50-64_Lower,bielik_lora,0.20624772277777778,0.20956029143897997,0.020968100453139262,0.1697941712204007,0.2518306010928961,SVK,Female,50-64,Lower
SVK_Female_50-64_Lower,qwen_lora,0.284153005,0.28427868852459015,0.033892532388091964,0.2185792349726776,0.34977231329690345,SVK,Female,50-64,Lower
SVK_Female_50-64_Medium,bielik_lora,0.20333333322222222,0.20344040404040403,0.0175195961301519,0.1717361111111111,0.23742424242424243,SVK,Female,50-64,Medium
SVK_Female_50-64_Medium,qwen_lora,0.23878787877777777,0.23984469696969696,0.024582639121965465,0.19456439393939393,0.2867992424242424,SVK,Female,50-64,Medium
SVK_Female_65+_Higher,bielik_lora,0.24805555555555556,0.25198333333333334,0.04835740665383595,0.16472222222222221,0.35944444444444446,SVK,Female,65+,Higher
SVK_Female_65+_Higher,qwen_lora,0.29916666666666664,0.3019711111111111,0.07713877077464541,0.16027777777777777,0.445,SVK,Female,65+,Higher
SVK_Female_65+_Lower,bielik_lora,0.15044205466666666,0.150989486260454,0.014209868764911343,0.12413381123058542,0.18034050179211467,SVK,Female,65+,Lower
