persona_id,model,base_model,country,sex,age_group,education,base_w1,post_w1_norm,delta_w1,pct_change,base_ci_lower,base_ci_upper,post_w1_ci_lower,post_w1_ci_upper
CHN_Female_18-29_Higher,bielik_lora,bielik,CHN,Female,18-29,Higher,0.1105555555555555,0.12833333333333333,0.017777777777777823,16.0804020100503,0.09180555555555552,0.1358333333333333,0.11166666666666665,0.14430555555555558
CHN_Female_18-29_Higher,qwen_lora,qwen,CHN,Female,18-29,Higher,0.18333333333333332,0.29583333333333334,0.11250000000000002,61.363636363636374,0.16944444444444445,0.19791666666666663,0.26317708333333334,0.3256944444444444
CHN_Female_18-29_Lower,bielik_lora,bielik,CHN,Female,18-29,Lower,0.20451388888888888,0.19076388888888887,-0.013750000000000012,-6.723259762309004,0.15238715277777776,0.2652777777777778,0.15951388888888887,0.22722222222222221
CHN_Female_18-29_Lower,qwen_lora,qwen,CHN,Female,18-29,Lower,0.3211805555555556,0.46743055555555557,0.14625,45.53513513513513,0.2760416666666667,0.3611111111111111,0.4153038194444445,0.5195138888888889
CHN_Female_18-29_Medium,bielik_lora,bielik,CHN,Female,18-29,Medium,0.15143790855555556,0.12568627477777777,-0.025751633777777783,-17.00474737362785,0.11483660130718952,0.19627450980392155,0.0995424836601307,0.15705882352941172
CHN_Female_18-29_Medium,qwen_lora,qwen,CHN,Female,18-29,Medium,0.2640522878888889,0.3748366014444444,0.11078431355555551,41.95544543138845,0.2300326797385621,0.29934640522875816,0.32908496732026143,0.4166666666666667
CHN_Female_30-49_Higher,bielik_lora,bielik,CHN,Female,30-49,Higher,0.16923976533333335,0.20304093511111113,0.03380116977777778,19.972356798771997,0.13926900584795326,0.19921052631578948,0.18328581871345023,0.22352704678362573
CHN_Female_30-49_Higher,qwen_lora,qwen,CHN,Female,30-49,Higher,0.32748537977777775,0.4281286551111111,0.10064327533333334,30.73214303540115,0.30116959064327486,0.35235745614035086,0.39302266081871345,0.46175438596491225
CHN_Female_30-49_Lower,bielik_lora,bielik,CHN,Female,30-49,Lower,0.20174435733333335,0.22406039333333336,0.02231603600000001,11.061541594012567,0.17917033128114923,0.22226619759601293,0.2085224274406333,0.2393125183230724
CHN_Female_30-49_Lower,qwen_lora,qwen,CHN,Female,30-49,Lower,0.4778657286666667,0.507991791111111,0.030126062444444324,6.304294415190974,0.456171210788625,0.4989812371738492,0.4827719143946057,0.532332160656699
CHN_Female_30-49_Medium,bielik_lora,bielik,CHN,Female,30-49,Medium,0.20556894244444449,0.21776439066666667,0.012195448222222183,5.932534398048982,0.17344042838018744,0.24173025435073628,0.19299129852744312,0.24119143239625165
CHN_Female_30-49_Medium,qwen_lora,qwen,CHN,Female,30-49,Medium,0.47724230222222225,0.47502007999999996,-0.002222222222222292,-0.46563814898108935,0.44375836680053543,0.5093708165997323,0.44289156626506027,0.5084872824631861
CHN_Female_50-64_Higher,bielik_lora,bielik,CHN,Female,50-64,Higher,0.238989899,0.23040404055555555,-0.008585858444444455,-3.592561225545543,0.13292929292929298,0.38222222222222224,0.1798989898989899,0.2902222222222222
CHN_Female_50-64_Higher,qwen_lora,qwen,CHN,Female,50-64,Higher,0.4393939396666667,0.43828282855555556,-0.0011111111111111183,-0.25287356306143643,0.33838383838383845,0.5353535353535354,0.3320959595959596,0.5392929292929293
CHN_Female_50-64_Lower,bielik_lora,bielik,CHN,Female,50-64,Lower,0.2099999998888889,0.3075308643333333,0.09753086444444442,46.44326880764193,0.18253086419753087,0.23592592592592596,0.2899228395061728,0.324212962962963
