persona_id,w1_before,w1_after,delta,pct_change,model
USA_Female_18-29_Medium,0.3272659171111111,0.2772659171111111,-0.04999999999999999,-15.278095697030478,bielik
USA_Male_18-29_Higher,0.32125683111111114,0.27570127555555557,-0.04555555555555557,-14.180416148038125,bielik
USA_Male_18-29_Medium,0.3547008551111111,0.28692307733333333,-0.06777777777777777,-19.108433712838433,bielik
USA_Male_30-49_Medium,0.3647953214444445,0.28900584766666665,-0.07578947377777784,-20.77588974487985,bielik
USA_Male_50-64_Higher,0.3403106332222222,0.2903106332222222,-0.04999999999999999,-14.69245892394731,bielik
CHN_Male_30-49_Medium,0.526143791,0.5250326798888889,-0.0011111111111110628,-0.2111801241632561,qwen
CHN_Male_50-64_Lower,0.5306211725555555,0.6216097987777778,0.09098862622222226,17.14756796906664,qwen
CHN_Male_65+_Higher,0.6111111112222223,0.7025925927777777,0.09148148155555547,14.969696979096403,qwen
CHN_Male_65+_Lower,0.5829143898888889,0.7230054643333333,0.14009107444444446,24.03287290113865,qwen
CHN_Male_65+_Medium,0.637248677,0.7233333329999999,0.08608465599999993,13.508801054756828,qwen
