persona_id,model,n_valid,w1_raw,w1_norm,country,sex,age_group,education
CHN_Male_50-64_Higher,qwen,100,4.433333333,0.4925925925555556,CHN,Male,50-64,Higher
CHN_Male_50-64_Lower,bielik,100,1.5498425230000004,0.17220472477777782,CHN,Male,50-64,Lower
CHN_Male_50-64_Lower,gemma3,100,1.7598425230000003,0.19553805811111113,CHN,Male,50-64,Lower
CHN_Male_50-64_Lower,qwen,100,4.775590553,0.5306211725555555,CHN,Male,50-64,Lower
CHN_Male_50-64_Medium,bielik,100,1.5732673280000005,0.17480748088888895,CHN,Male,50-64,Medium
CHN_Male_50-64_Medium,gemma3,100,1.4232673280000006,0.1581408142222223,CHN,Male,50-64,Medium
CHN_Male_50-64_Medium,qwen,100,4.69306931,0.5214521455555556,CHN,Male,50-64,Medium
CHN_Male_65+_Higher,bielik,100,1.183333331,0.13148148122222222,CHN,Male,65+,Higher
CHN_Male_65+_Higher,gemma3,100,0.7433333310000001,0.08259259233333334,CHN,Male,65+,Higher
CHN_Male_65+_Higher,qwen,100,5.500000001,0.6111111112222223,CHN,Male,65+,Higher
CHN_Male_65+_Lower,bielik,100,1.1252459049999999,0.12502732277777776,CHN,Male,65+,Lower
CHN_Male_65+_Lower,gemma3,100,1.255245905,0.1394717672222222,CHN,Male,65+,Lower
CHN_Male_65+_Lower,qwen,100,5.246229509,0.5829143898888889,CHN,Male,65+,Lower
CHN_Male_65+_Medium,bielik,100,1.4138095270000002,0.15708994744444446,CHN,Male,65+,Medium
CHN_Male_65+_Medium,gemma3,100,1.5238095270000003,0.1693121696666667,CHN,Male,65+,Medium
CHN_Male_65+_Medium,qwen,100,5.7352380929999995,0.637248677,CHN,Male,65+,Medium
SVK_Female_18-29_Higher,bielik,100,1.598181816,0.17757575733333333,SVK,Female,18-29,Higher
SVK_Female_18-29_Higher,gemma3,100,1.999999998,0.222222222,SVK,Female,18-29,Higher
SVK_Female_18-29_Higher,qwen,100,3.266363634,0.3629292926666667,SVK,Female,18-29,Higher
SVK_Female_18-29_Medium,bielik,100,1.836666666,0.204074074,SVK,Female,18-29,Medium
SVK_Female_18-29_Medium,gemma3,100,2.1966666640000003,0.24407407377777782,SVK,Female,18-29,Medium
