persona_id,country,sex,age_group,education,mean_w1_norm,max_w1_norm,mean_ci_lower,max_ci_lower,worst_model,worst_model_w1
SVK_Male_30-49_Medium,SVK,Male,30-49,Medium,0.33016510485185185,0.390896921,0.2783913431503793,0.32928380187416334,gemma3,0.32928380187416334
USA_Male_65+_Higher,USA,Male,65+,Higher,0.3246231547407407,0.34731934733333336,0.28576664076664077,0.3177933177933178,qwen,0.3177933177933178
USA_Male_18-29_Higher,USA,Male,18-29,Higher,0.3347055257037037,0.349253188,0.2994672131147541,0.3137112932604736,gemma3,0.3137112932604736
SVK_Female_30-49_Lower,SVK,Female,30-49,Lower,0.3147877147777778,0.3983739841111111,0.23529358626919603,0.30894308943089427,gemma3,0.30894308943089427
SVK_Male_65+_Lower,SVK,Male,65+,Lower,0.36093231181481483,0.39655172433333336,0.27407088122605366,0.3045498084291188,gemma3,0.3045498084291188
CHN_Female_30-49_Higher,CHN,Female,30-49,Higher,0.22990253348148149,0.32748537977777775,0.1982261208576998,0.30116959064327486,qwen,0.30116959064327486
SVK_Male_18-29_Higher,SVK,Male,18-29,Higher,0.32037037037037036,0.36666666666666664,0.2277777777777778,0.2888888888888889,qwen,0.2888888888888889
SVK_Female_30-49_Higher,SVK,Female,30-49,Higher,0.3459259256296296,0.35185185155555554,0.28329365079365076,0.28835978835978837,gemma3,0.28835978835978837
SVK_Male_30-49_Higher,SVK,Male,30-49,Higher,0.30250225807407405,0.34417344133333333,0.24378500451671184,0.2845528455284553,qwen,0.2845528455284553
USA_Female_50-64_Higher,USA,Female,50-64,Higher,0.29410117437037037,0.3197831977777778,0.25613821138211385,0.2845528455284553,qwen,0.2845528455284553
USA_Female_30-49_Lower,USA,Female,30-49,Lower,0.3679202278888889,0.37606837633333334,0.2538888888888889,0.28205128205128205,qwen,0.28205128205128205
USA_Female_50-64_Medium,USA,Female,50-64,Medium,0.2613988812222222,0.301358913,0.23422062350119904,0.27817745803357313,qwen,0.27817745803357313
CHN_Male_18-29_Lower,CHN,Male,18-29,Lower,0.22225749533333336,0.3280423277777778,0.1614109347442681,0.27777777777777785,qwen,0.27777777777777785
USA_Female_65+_Medium,USA,Female,65+,Medium,0.18665665674074075,0.30330330311111114,0.15162162162162163,0.27627627627627627,qwen,0.27627627627627627
CHN_Female_18-29_Lower,CHN,Female,18-29,Lower,0.2556712962962963,0.3211805555555556,0.19894386574074074,0.2760416666666667,qwen,0.2760416666666667
USA_Male_50-64_Medium,USA,Male,50-64,Medium,0.2797222222222222,0.3013888888888889,0.24869791666666666,0.2749826388888889,qwen,0.2749826388888889
SVK_Male_50-64_Lower,SVK,Male,50-64,Lower,0.28261574074074075,0.3246527777777778,0.22992476851851854,0.26731770833333335,gemma3,0.26731770833333335
USA_Male_65+_Medium,USA,Male,65+,Medium,0.2573232323333334,0.29570707100000004,0.21311026936026936,0.26410984848484853,qwen,0.26410984848484853
SVK_Male_50-64_Higher,SVK,Male,50-64,Higher,0.3219865322962963,0.3686868688888889,0.22262962962962962,0.26262626262626265,gemma3,0.26262626262626265
SVK_Male_50-64_Medium,SVK,Male,50-64,Medium,0.2714575869259259,0.328602151,0.21291517323775389,0.2605017921146954,gemma3,0.2605017921146954
SVK_Female_30-49_Medium,SVK,Female,30-49,Medium,0.2747360126666667,0.30141843977777777,0.23257683215130023,0.2541371158392435,gemma3,0.2541371158392435
SVK_Female_18-29_Higher,SVK,Female,18-29,Higher,0.254242424,0.3629292926666667,0.15996632996632998,0.25181818181818183,qwen,0.25181818181818183
USA_Female_65+_Higher,USA,Female,65+,Higher,0.22148148159259257,0.3015873014444444,0.15975308641975308,0.2433862433862434,qwen,0.2433862433862434
CHN_Female_18-29_Medium,CHN,Female,18-29,Medium,0.2169281047037037,0.2640522878888889,0.17639433551198255,0.23003267973856206,qwen,0.23003267973856206
SVK_Female_50-64_Lower,SVK,Female,50-64,Lower,0.2540376437407407,0.284153005,0.19512750455373407,0.22404371584699456,gemma3,0.22404371584699456
SVK_Female_50-64_Medium,SVK,Female,50-64,Medium,0.2432659932962963,0.2777777778888889,0.19486531986531988,0.22095959595959597,gemma3,0.22095959595959597
SVK_Female_18-29_Medium,SVK,Female,18-29,Medium,0.2419753083703704,0.27777777733333336,0.1740740740740741,0.21759259259259262,qwen,0.21759259259259262
CHN_Male_18-29_Medium,CHN,Male,18-29,Medium,0.20398148148148149,0.2486111111111111,0.16230324074074076,0.21385416666666665,qwen,0.21385416666666665
SVK_Male_65+_Higher,SVK,Male,65+,Higher,0.33577342014814815,0.3725490191111111,0.20282135076252725,0.20915032679738563,gemma3,0.20915032679738563
SVK_Male_18-29_Lower,SVK,Male,18-29,Lower,0.2547758282962963,0.28654970755555553,0.17894249512670568,0.19883040935672516,qwen,0.19883040935672516
SVK_Male_18-29_Medium,SVK,Male,18-29,Medium,0.24219373251851853,0.27333333355555556,0.1752065527065527,0.19630341880341878,gemma3,0.19630341880341878
CHN_Male_18-29_Higher,CHN,Male,18-29,Higher,0.184996964037037,0.21948998166666664,0.1528096539162113,0.195787795992714,qwen,0.195787795992714
SVK_Female_50-64_Higher,SVK,Female,50-64,Higher,0.2251851851851852,0.2555555555555556,0.15796296296296297,0.18611111111111112,gemma3,0.18611111111111112
SVK_Male_65+_Medium,SVK,Male,65+,Medium,0.22770025866666668,0.24547803644444446,0.15018087855297158,0.17054263565891473,qwen,0.17054263565891473
CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,0.1544444444444444,0.18333333333333332,0.13291666666666666,0.16944444444444445,qwen,0.16944444444444445
SVK_Female_65+_Higher,SVK,Female,65+,Higher,0.2862037037037037,0.30472222222222223,0.14262731481481483,0.16565972222222225,gemma3,0.16565972222222225
SVK_Female_65+_Medium,SVK,Female,65+,Medium,0.20622685185185186,0.2170138888888889,0.14369791666666668,0.1648871527777778,qwen,0.1648871527777778
SVK_Female_65+_Lower,SVK,Female,65+,Lower,0.17605336466666666,0.18040621222222222,0.13024492234169655,0.14575866188769415,qwen,0.14575866188769415
