persona_id,model,w1_norm,w1_boot_mean,w1_boot_sd,w1_ci_lower,w1_ci_upper,country,sex,age_group,education
CHN_Female_18-29_Higher,bielik,0.1105555555555555,0.11140069444444442,0.011165933404343803,0.09180555555555552,0.1358333333333333,CHN,Female,18-29,Higher
CHN_Female_18-29_Higher,gemma3,0.16944444444444443,0.1708222222222222,0.01629034086360276,0.13749999999999998,0.2034722222222222,CHN,Female,18-29,Higher
CHN_Female_18-29_Higher,qwen,0.18333333333333332,0.18360277777777778,0.007101829067187997,0.16944444444444445,0.19791666666666666,CHN,Female,18-29,Higher
CHN_Female_18-29_Lower,bielik,0.20451388888888888,0.20532777777777778,0.030033809916016403,0.15238715277777776,0.2652777777777778,CHN,Female,18-29,Lower
CHN_Female_18-29_Lower,gemma3,0.24131944444444445,0.240828125,0.03838941182539366,0.1684027777777778,0.3195312499999999,CHN,Female,18-29,Lower
CHN_Female_18-29_Lower,qwen,0.3211805555555556,0.32052604166666665,0.02184267633350941,0.2760416666666667,0.3611111111111111,CHN,Female,18-29,Lower
CHN_Female_18-29_Medium,bielik,0.15143790855555556,0.15391686274509803,0.020972058081447333,0.11483660130718953,0.19627450980392155,CHN,Female,18-29,Medium
CHN_Female_18-29_Medium,gemma3,0.23529411766666664,0.2340797385620915,0.025729973186507344,0.18431372549019603,0.2862745098039216,CHN,Female,18-29,Medium
CHN_Female_18-29_Medium,qwen,0.2640522878888889,0.2644078431372549,0.017978355856172367,0.23003267973856206,0.29934640522875816,CHN,Female,18-29,Medium
CHN_Female_30-49_Higher,bielik,0.16923976533333335,0.1694517543859649,0.015166646837686506,0.13926900584795326,0.19921052631578948,CHN,Female,30-49,Higher
CHN_Female_30-49_Higher,gemma3,0.19298245533333336,0.19327046783625731,0.02132428781453484,0.15423976608187132,0.23393640350877196,CHN,Female,30-49,Higher
CHN_Female_30-49_Higher,qwen,0.32748537977777775,0.3271118421052632,0.013205935877477155,0.30116959064327486,0.35235745614035086,CHN,Female,30-49,Higher
CHN_Female_30-49_Lower,bielik,0.20174435733333335,0.20148255643506302,0.011157079436740098,0.17917033128114923,0.22226619759601293,CHN,Female,30-49,Lower
CHN_Female_30-49_Lower,gemma3,0.218411024,0.21843125183230724,0.01095415234590088,0.19759601289944304,0.23894019349164464,CHN,Female,30-49,Lower
CHN_Female_30-49_Lower,qwen,0.4778657286666667,0.4773260041043682,0.010967839173386128,0.456171210788625,0.49898123717384923,CHN,Female,30-49,Lower
CHN_Female_30-49_Medium,bielik,0.20556894244444449,0.20587282463186077,0.017767352642310188,0.17344042838018744,0.24173025435073628,CHN,Female,30-49,Medium
CHN_Female_30-49_Medium,gemma3,0.2255689424444445,0.22583601070950468,0.01771302509709783,0.19277108433734938,0.2617302543507363,CHN,Female,30-49,Medium
CHN_Female_30-49_Medium,qwen,0.47724230222222225,0.4763293172690763,0.01690158143051952,0.44375836680053543,0.5093708165997323,CHN,Female,30-49,Medium
CHN_Female_50-64_Higher,bielik,0.238989899,0.24800646464646464,0.0665311387201229,0.13292929292929298,0.38222222222222224,CHN,Female,50-64,Higher
