persona_id,country,sex,age_group,education,n_respondents,mean_response,std_response,pmf_1,pmf_2,pmf_3,pmf_4,pmf_5,pmf_6,pmf_7,pmf_8,pmf_9,pmf_10
CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,160,2.525,1.7802197588885218,0.45,0.1625,0.1,0.075,0.14375,0.05625,0.00625,0.00625,0,0
CHN_Female_18-29_Lower,CHN,Female,18-29,Lower,64,3.171875,2.7577002582379606,0.484375,0.078125,0.078125,0.03125,0.140625,0.078125,0,0.03125,0.03125,0.046875
CHN_Female_18-29_Medium,CHN,Female,18-29,Medium,85,3.1176470588235294,2.106745202946967,0.3176470588235294,0.1411764705882353,0.17647058823529413,0.08235294117647059,0.16470588235294117,0.058823529411764705,0.03529411764705882,0,0,0.023529411764705882
CHN_Female_30-49_Higher,CHN,Female,30-49,Higher,152,2.736842105263158,2.399604940181588,0.5131578947368421,0.125,0.06578947368421052,0.046052631578947366,0.10526315789473684,0.07236842105263158,0.019736842105263157,0.013157894736842105,0.006578947368421052,0.03289473684210526
CHN_Female_30-49_Lower,CHN,Female,30-49,Lower,379,3.0105540897097627,2.555188612531673,0.47757255936675463,0.10026385224274406,0.09234828496042216,0.04221635883905013,0.11873350923482849,0.044854881266490766,0.0395778364116095,0.0395778364116095,0.018469656992084433,0.026385224274406333
CHN_Female_30-49_Medium,CHN,Female,30-49,Medium,166,3.0783132530120483,2.685518885261472,0.4759036144578313,0.12650602409638553,0.07228915662650602,0.018072289156626505,0.10843373493975904,0.060240963855421686,0.04216867469879518,0.04216867469879518,0.018072289156626505,0.03614457831325301
CHN_Female_50-64_Higher,CHN,Female,50-64,Higher,22,3.6818181818181817,3.153023698223412,0.45454545454545453,0.09090909090909091,0.045454545454545456,0,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456
CHN_Female_50-64_Lower,CHN,Female,50-64,Lower,360,3.1166666666666667,3.0000464248961274,0.5416666666666666,0.08611111111111111,0.075,0.016666666666666666,0.06944444444444445,0.022222222222222223,0.041666666666666664,0.04722222222222222,0.03888888888888889,0.06111111111111111
CHN_Female_50-64_Medium,CHN,Female,50-64,Medium,74,2.810810810810811,2.8461734738362656,0.581081081081081,0.12162162162162163,0.04054054054054054,0.02702702702702703,0.02702702702702703,0.04054054054054054,0.02702702702702703,0.06756756756756757,0.02702702702702703,0.04054054054054054
CHN_Female_65+_Lower,CHN,Female,65+,Lower,144,3.6041666666666665,3.2023128660872118,0.4722222222222222,0.08333333333333333,0.05555555555555555,0.04861111111111111,0.05555555555555555,0.06944444444444445,0.027777777777777776,0.0625,0.034722222222222224,0.09027777777777778
CHN_Female_65+_Medium,CHN,Female,65+,Medium,12,3.8333333333333335,3.5118845842842465,0.5,0,0.08333333333333333,0,0.08333333333333333,0.16666666666666666,0,0,0,0.16666666666666666
CHN_Male_18-29_Higher,CHN,Male,18-29,Higher,122,2.5655737704918034,2.292595717219264,0.5491803278688525,0.10655737704918032,0.09836065573770492,0.040983606557377046,0.05737704918032787,0.06557377049180328,0.03278688524590164,0.02459016393442623,0.00819672131147541,0.01639344262295082
CHN_Male_18-29_Lower,CHN,Male,18-29,Lower,42,2.7142857142857144,2.3919143704156083,0.5,0.09523809523809523,0.16666666666666666,0,0.14285714285714285,0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
CHN_Male_18-29_Medium,CHN,Male,18-29,Medium,80,2.9125,2.165282745298777,0.4125,0.1,0.1625,0.0625,0.15,0.05,0.025,0.0125,0.0125,0.0125
CHN_Male_30-49_Higher,CHN,Male,30-49,Higher,165,2.4424242424242424,2.3357025243672513,0.5818181818181818,0.10303030303030303,0.11515151515151516,0.030303030303030304,0.05454545454545454,0.024242424242424242,0.01818181818181818,0.04242424242424243,0,0.030303030303030304
CHN_Male_30-49_Lower,CHN,Male,30-49,Lower,249,2.5943775100401605,2.336622984097936,0.5542168674698795,0.11244979919678715,0.060240963855421686,0.05220883534136546,0.08835341365461848,0.04417670682730924,0.040160642570281124,0.020080321285140562,0.004016064257028112,0.024096385542168676
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,136,2.3970588235294117,2.1336090508102337,0.5735294117647058,0.11029411764705882,0.08088235294117647,0.051470588235294115,0.08823529411764706,0.022058823529411766,0.04411764705882353,0.007352941176470588,0.007352941176470588,0.014705882352941176
CHN_Male_50-64_Higher,CHN,Male,50-64,Higher,30,2.566666666666667,2.112088904433212,0.5,0.2,0.03333333333333333,0,0.06666666666666667,0.16666666666666666,0.03333333333333333,0,0,0
CHN_Male_50-64_Lower,CHN,Male,50-64,Lower,254,2.6181102362204722,2.576847886717065,0.5708661417322834,0.1220472440944882,0.05905511811023622,0.05905511811023622,0.051181102362204724,0.027559055118110236,0.01968503937007874,0.031496062992125984,0.011811023622047244,0.047244094488188976
CHN_Male_50-64_Medium,CHN,Male,50-64,Medium,101,2.504950495049505,2.3221703743534308,0.5841584158415841,0.10891089108910891,0.0594059405940594,0.009900990099009901,0.1188118811881188,0.039603960396039604,0.0297029702970297,0.019801980198019802,0.009900990099009901,0.019801980198019802
CHN_Male_65+_Higher,CHN,Male,65+,Higher,12,1.8333333333333333,2.2896340848319503,0.75,0.16666666666666666,0,0,0,0,0,0,0.08333333333333333,0
CHN_Male_65+_Lower,CHN,Male,65+,Lower,122,2.139344262295082,2.18679573794908,0.6229508196721312,0.18032786885245902,0.06557377049180328,0.00819672131147541,0.02459016393442623,0.00819672131147541,0,0.06557377049180328,0.01639344262295082,0.00819672131147541
